,PO_Number,PO_Line_Number,Supplier,Vendor_number,Material,Material_Group,PO_Document_Date,Scheduled_relevant_delivery_date,Posting_Date,days_late,expected_lead_time,error_code,material_order_history,avg_material_late,supplier_material_order_history,avg_supplier_material_late,supplier_total_order_history,avg_supplier_general_late,number_line_items,avg_MOQ,avg_unit_price,avg_min_price,delivery_month,dayofweek,time,delivery_season,Material Description,Material Group Description,Invoice ($),Invoice Qty,Purchase Order $,Purchase Order Qty
0,4508737436,24,ALL METAL DESIGNS INC,522182,MRO199902,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
1,4508750816,1,ELMO SWEDEN AB,503894,V_00015859-20,057,2018-12-13,2019-03-01 00:00:00,2019-02-27 00:00:00,-2.0,78.0,,2332.0,-6.687590187590188,7.0,-3.2857142857142856,349.0,-2.1552238805970148,1,0.0002684083385523,52.35873691509147,0.0053317079717276,Mar,Friday,,Spring,ELMOSOFT - 22030 (L144),Sp'l Uph'y Matl's,295.96,51.99,212.5,50.0
2,4508891281,1,SHORELINE CONTAINER LLC,522865,920107304,013,2019-02-28,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,1.0,,6109.0,0.2558522914606,5449.0,0.2723915050784857,5449.0,0.2723915050784857,1,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"CORR,RSC,30.5x28.875x13,275C,SHORTFLAP",Packaging Materials,672.25,125.0,672.25,125.0
3,4508879999,12,ROYAL TECHNOLOGIES CORPORATION,556264,1027949001-6295,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"SUPPORT - BACK, MEMBRANE (GRAPHITE)",Inj.Molded Plastics,852.0,400.0,852.0,400.0
4,4508737436,4,ALL METAL DESIGNS INC,522182,MRO195792,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
5,4508889189,1,JEMNI INC,569547,930201037,013,2019-02-27,2019-03-01 00:00:00,2019-03-01 00:00:00,0.0,2.0,,6109.0,0.2558522914606,570.0,-0.0442477876106194,668.0,0.3740573152337858,2,31012.938775510203,17.964587040816326,11054.708675510205,Mar,Friday,,Spring,"POLY,BAG,28.5x23x45,1.0MIL,HDPE,CLEARBAG",Packaging Materials,155.84,600.0,155.84,600.0
6,4508879999,16,ROYAL TECHNOLOGIES CORPORATION,556264,1071601001-5U26,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"LUMBAR ASSEMBLY,WASABI/APPLE GREEN, 5U26",Inj.Molded Plastics,325.0,100.0,325.0,100.0
7,4508737436,8,ALL METAL DESIGNS INC,522182,MRO195796,X714,2018-12-07,2019-03-01 00:00:00,2019-03-05 00:00:00,4.0,84.0,,321.0,-6.476635514018692,27.0,4.037037037037037,28.0,4.035714285714286,25,0.4402730375426621,517.7274402730379,23.568771331058024,Mar,Friday,,Spring,,,,,,
8,4508879999,4,ROYAL TECHNOLOGIES CORPORATION,556264,1025204002,073,2019-02-22,2019-03-01 00:00:00,2019-02-28 00:00:00,-1.0,7.0,,31199.0,-0.5016059436135354,30055.0,-0.3957433992571027,30067.0,-0.3946743384738902,17,868.6581196581196,3.905899031339037,966.555354700855,Mar,Friday,,Spring,"ACTIVATOR - ARM, RH",Inj.Molded Plastics,220.0,1000.0,220.0,1000.0
9,4508856570,1,JEMNI INC,569547,MRO140915,X709,2019-02-11,2019-03-01 00:00:00,2019-03-07 00:00:00,6.0,18.0,,214.0,-2.808411214953271,89.0,3.02247191011236,668.0,0.3740573152337858,2,2.875,204.98749583333333,21.788999999999994,Mar,Friday,,Spring,,,,,,
